X,Y
61.19,3.82
61.19,3.75
61.18,3.67
61.18,3.6
61.18,3.52
61.17,3.45
61.17,3.37
61.16,3.3
61.16,3.22
61.16,3.15
61.15,3.07
61.15,3.0
61.15,2.92
61.14,2.85
61.14,2.77
61.13,2.7
61.13,2.62
61.13,2.55
61.12,2.47
61.12,2.4
61.12,2.32
61.11,2.25
61.11,2.17
61.1,2.1
61.1,2.02
61.1,1.95
61.09,1.87
61.09,1.8
61.09,1.72
61.08,1.65
61.08,1.57
61.07,1.5
61.07,1.42
61.07,1.35
61.06,1.27
61.06,1.2
61.06,1.12
61.05,1.05
61.05,0.97
61.04,0.9
61.04,0.82
61.04,0.75
61.03,0.67
61.03,0.6
61.03,0.52
61.02,0.45
61.02,0.37
61.01,0.3
61.01,0.22
61.01,0.15
61.0,0.07
61.0,-0.01
60.97,-0.08
60.94,-0.16
60.91,-0.23
60.88,-0.31
60.85,-0.38
60.82,-0.46
60.79,-0.53
60.76,-0.61
60.73,-0.68
60.7,-0.76
60.67,-0.83
60.64,-0.91
60.61,-0.98
60.58,-1.06
60.55,-1.13
60.52,-1.21
60.49,-1.28
60.46,-1.36
60.43,-1.43
60.4,-1.51
60.37,-1.58
60.34,-1.66
60.31,-1.73
60.28,-1.81
60.25,-1.88
60.22,-1.96
60.19,-2.03
60.16,-2.11
60.13,-2.18
60.1,-2.26
60.07,-2.33
60.04,-2.41
60.01,-2.48
59.98,-2.56
59.95,-2.63
59.92,-2.71
59.89,-2.78
59.86,-2.86
59.83,-2.93
59.8,-3.01
59.77,-3.08
59.74,-3.16
59.71,-3.23
59.68,-3.31
59.65,-3.38
59.62,-3.46
59.59,-3.53
59.56,-3.61
59.53,-3.68
59.5,-3.76
59.47,-3.83
59.44,-3.91
59.41,-3.98
59.38,-4.06
59.35,-4.13
59.32,-4.21
59.29,-4.28
59.26,-4.36
59.23,-4.43
59.2,-4.51
59.17,-4.58
59.14,-4.66
59.11,-4.73
59.08,-4.81
59.05,-4.88
59.02,-4.96
58.99,-5.03
58.96,-5.11
58.93,-5.18
58.9,-5.26
58.87,-5.33
58.84,-5.41
58.81,-5.48
58.78,-5.56
58.75,-5.63
58.72,-5.71
58.69,-5.78
58.66,-5.86
58.63,-5.93
58.6,-6.01
58.57,-6.08
58.54,-6.16
58.51,-6.23
58.48,-6.31
58.45,-6.38
58.42,-6.46
58.39,-6.53
58.36,-6.61
58.33,-6.68
58.3,-6.76
58.27,-6.83
58.24,-6.91
58.21,-6.98
